County,Farm,Rep,EU,N_trt,Depth,N_ppm
Outagamie 2,Oneida Nation Farm,4,401,160,0-12,0.5
Outagamie 2,Oneida Nation Farm,1,102,160,12-24,1.3
Outagamie 2,Oneida Nation Farm,2,205,160,12-24,1.4
Outagamie 2,Oneida Nation Farm,3,304,160,12-24,1.4
Outagamie 2,Oneida Nation Farm,4,401,160,12-24,1.5
Marathon,MARS,1,102,160,0-12,1.8
Marathon,MARS,2,205,160,0-12,2.6
Marathon,MARS,3,304,160,0-12,1.8
Marathon,MARS,4,401,160,0-12,2.4
Marathon,MARS,1,102,160,12-24,2.2
Marathon,MARS,2,205,160,12-24,2
Marathon,MARS,3,304,160,12-24,2.5
Marathon,MARS,4,401,160,12-24,2.5
Oconto,Gillett,1,102,160,0-12,20.8
Oconto,Gillett,2,205,160,0-12,4.7
Oconto,Gillett,3,304,160,0-12,5.6
Oconto,Gillett,4,401,160,0-12,4.5
Oconto,Gillett,1,102,160,12-24,7.4
Oconto,Gillett,2,205,160,12-24,3.3
Oconto,Gillett,3,304,160,12-24,6.4
Oconto,Gillett,4,401,160,12-24,3.5
Dunn,Olson,1,102,160,0-12,3
Dunn,Olson,2,205,160,0-12,7.6
Dunn,Olson,3,304,160,0-12,11.1
Dunn,Olson,4,401,160,0-12,5.3
Dunn,Olson,1,102,160,12-24,4
Dunn,Olson,2,205,160,12-24,4.4
Dunn,Olson,3,304,160,12-24,2.4
Dunn,Olson,4,401,160,12-24,3.6
Dane,,1,102,160,0-12,13.2
Dane,,2,205,160,0-12,11.9
Dane,,3,304,160,0-12,9.4
Dane,,4,401,160,0-12,23.8
Dane,,1,102,160,12-24,3.5
Dane,,2,205,160,12-24,4
Dane,,3,304,160,12-24,5.6
Dane,,4,401,160,12-24,6.1
Dane,,1,102,160,24-36,4.1
Dane,,2,205,160,24-36,4.2
Dane,,3,304,160,24-36,4.1
Dane,,4,401,160,24-36,8.4
