County,Farm,Rep,EU,Depth,Timing,N_ppm
Door,PARS,2,204,0-12,PH,2
Door,PARS,3,301,0-12,PH,2.8
Door,PARS,4,402,0-12,PH,1.8
Outagamie,Oneida Nation Farm,1,103,0-12,PH,1.3
Outagamie,Oneida Nation Farm,2,204,0-12,PH,1.1
Outagamie,Oneida Nation Farm,3,301,0-12,PH,0.8
Outagamie,Oneida Nation Farm,4,402,0-12,PH,1.1
Outagamie,Oneida Nation Farm,1,103,12-24,PH,0.7
Outagamie,Oneida Nation Farm,2,204,12-24,PH,0.7
Outagamie,Oneida Nation Farm,3,301,12-24,PH,0.7
Outagamie,Oneida Nation Farm,4,402,12-24,PH,0.8
Marathon,MARS,1,103,0-12,PH,1.6
Marathon,MARS,2,204,0-12,PH,1.4
Marathon,MARS,3,301,0-12,PH,1.9
Marathon,MARS,4,402,0-12,PH,1.7
Marathon,MARS,1,103,12-24,PH,1.5
Marathon,MARS,2,204,12-24,PH,1
Marathon,MARS,3,301,12-24,PH,1.1
Marathon,MARS,4,402,12-24,PH,2.4
Oconto,Gillett,1,101,0-12,PH,3.5
Oconto,Gillett,2,204,0-12,PH,3.8
Oconto,Gillett,3,301,0-12,PH,3.5
Oconto,Gillett,4,402,0-12,PH,4.5
Oconto,Gillett,1,101,12-24,PH,2.1
Oconto,Gillett,2,204,12-24,PH,1.6
Oconto,Gillett,3,301,12-24,PH,3.3
Oconto,Gillett,4,402,12-24,PH,1.6
Dunn,Olson,1,101,0-12,PH,1.5
Dunn,Olson,2,204,0-12,PH,1.1
Dunn,Olson,3,301,0-12,PH,1.2
Dunn,Olson,4,402,0-12,PH,1.2
Dunn,Olson,1,101,12-24,PH,1.7
Dunn,Olson,2,204,12-24,PH,1
Dunn,Olson,3,301,12-24,PH,1.9
Dunn,Olson,4,402,12-24,PH,2.3
Dane,Bucky,1,101,0-12,PH,15.5
Dane,Bucky,2,204,0-12,PH,5.4
Dane,Bucky,3,301,0-12,PH,5
Dane,Bucky,4,402,0-12,PH,5.6
Dane,Bucky,1,101,12-24,PH,2.1
Dane,Bucky,2,204,12-24,PH,2.6
Dane,Bucky,3,301,12-24,PH,10.9
Dane,Bucky,4,402,12-24,PH,2.7
Dane,Bucky,1,101,24-36,PH,3.2
Dane,Bucky,2,204,24-36,PH,3.7
Dane,Bucky,3,301,24-36,PH,6.7
Dane,Bucky,4,402,24-36,PH,3.1
