county,EU,rep,Forage,N_trt,bio_lbs,harvested_area_acres,Yield_lbs_ac,wet_yield_ton_ac,DM_percent,DM_total,CP,aNDFom,Lignin,NDFD30,Ash,Milk.Ton_.Milk.2013,Milk.Acre,RFV,RFQ
Outagamie 1,202,2,rye,40,14.9,0.000275482,54087,27.0435,14.05,3.79961175,11.15,59.92,2.62,75.78,8.41,3145,11949.77895,96.08,177.71
Outagamie 1,203,2,rye,80,14.8,0.000275482,53724,26.862,13.63,3.6612906,12.56,57.45,2.63,74.9,8.36,3199,11712.46863,100.42,183.2
Outagamie 1,204,2,rye,0,11.3,0.000275482,41019,20.5095,15.27,3.13180065,10.83,57.74,2.32,77.17,8.15,3262,10215.93372,102.87,182.22
Outagamie 1,205,2,rye,160,12.1,0.000275482,43923,21.9615,11.5,2.5255725,21.32,52.57,2.07,74.42,11.67,3058,7723.200705,113.76,164.6
Outagamie 1,301,3,rye,0,11.1,0.000275482,40293,20.1465,15.5,3.1227075,10.42,60.58,2.48,75.57,7.87,3170,9898.982775,96.98,174.74
Outagamie 1,302,3,rye,80,13.5,0.000275482,49005,24.5025,15.26,3.7390815,17.61,54.02,2.32,77.84,8.13,3371,12604.44374,112.13,190.65
Outagamie 1,303,3,rye,40,14.2,0.000275482,51546,25.773,13.7,3.530901,13.88,50.78,2.18,76.82,9.29,3373,11909.72907,119.12,190.07
Outagamie 1,304,3,rye,160,12.9,0.000275482,46827,23.4135,14.31,3.35047185,15.68,57.37,2.33,77.25,9.19,3180,10654.50048,103.31,178.99
Outagamie 1,305,3,rye,120,12.1,0.000275482,43923,21.9615,14.94,3.2810481,21.86,53.51,2.24,78.15,8.03,3393,11132.5962,114.05,190.15
Outagamie 1,401,4,rye,160,14.7,0.000275482,53361,26.6805,12.99,3.46579695,21.67,48.19,1.83,77.28,10.15,3359,11641.61196,130.18,183.35
Outagamie 1,402,4,rye,0,11,0.000275482,39930,19.965,14.96,2.986764,18.63,57.91,2.42,76.26,8.65,3167,9459.081588,101.42,176.96
Outagamie 1,403,4,rye,120,13.2,0.000275482,47916,23.958,13.3,3.186414,18.87,47.67,1.91,77.99,9.93,3429,10926.21361,128.98,192.43
Outagamie 1,404,4,rye,40,12.9,0.000275482,46827,23.4135,14.9,3.4886115,12.98,56.8,2.46,74.17,8.68,3180,11093.78457,104.33,179.28
Outagamie 1,405,4,rye,80,11.9,0.000275482,43197,21.5985,15.23,3.28945155,10.67,58.41,2.47,74.1,8.3,3159,10391.37745,100.66,174.1
Outagamie 2,101,1,rye,80,4.4,0.000275482,15972,7.986,16.04,1.2809544,12.85,49.51,1.77,80.77,7.52,3625,4643.4597,124.62,209.09
Outagamie 2,102,1,rye,160,5.7,0.000275482,20691,10.3455,15.19,1.57148145,14.32,49.81,1.75,80.16,7.55,3588,5638.475443,122.46,211.34
Outagamie 2,103,1,rye,0,3.6,0.000275482,13068,6.534,17.78,1.1617452,9.26,52.63,2.28,78.43,6.58,3562,4138.136402,115.52,193.14
Outagamie 2,104,1,rye,120,6.5,0.000275482,23595,11.7975,14.65,1.72833375,15.12,50.81,1.83,80.87,8.02,3536,6111.38814,121.58,205.39
Outagamie 2,105,1,rye,40,2.9,0.000275482,10527,5.2635,17.81,0.93742935,10.06,49.53,2.08,78.46,6.75,3637,3409.430546,124.35,198.71
Outagamie 2,201,2,rye,120,4.9,0.000275482,17787,8.8935,14.96,1.3304676,14.49,46.4,1.58,83.71,7.72,3745,4982.601162,136.15,217.78
Outagamie 2,202,2,rye,40,3.7,0.000275482,13431,6.7155,17.2,1.155066,10.06,51.36,1.94,80.45,6.64,3628,4190.579448,119.2,201.83
Outagamie 2,203,2,rye,80,6.6,0.000275482,23958,11.979,15.51,1.8579429,12.14,53.11,2.05,77.59,7.47,3455,6419.19272,115.58,194.31
Outagamie 2,204,2,rye,0,4.9,0.000275482,17787,8.8935,16.31,1.45052985,9.88,54.37,2.04,79,7.58,3441,4991.273214,113.06,185.69
Outagamie 2,205,2,rye,160,9.1,0.000275482,33033,16.5165,13.5,2.2297275,18.66,50.15,1.68,80.52,7.81,3565,7948.978538,124.17,203.46
Outagamie 2,301,3,rye,0,2.4,0.000275482,8712,4.356,19.02,0.8285112,9.17,52.76,2.23,78.85,6.68,3550,2941.21476,115.38,191.35
Outagamie 2,302,3,rye,80,5.5,0.000275482,19965,9.9825,15.86,1.5832245,11.55,49.84,1.87,79.45,6.77,3647,5774.019752,122.53,209.37
Outagamie 2,303,3,rye,40,3.9,0.000275482,14157,7.0785,16.44,1.1637054,10.9,50.39,1.8,81.46,6.51,3694,4298.727748,123.45,208.38
Outagamie 2,304,3,rye,160,5.2,0.000275482,18876,9.438,14.27,1.3468026,17.07,44.46,1.35,82.41,7.84,3751,5051.856553,141.77,218.41
Outagamie 2,305,3,rye,120,6.5,0.000275482,23595,11.7975,15.2,1.79322,13.3,50.85,1.71,81.18,7.42,3595,6446.6259,122.16,207.55
Outagamie 2,401,4,rye,160,4.6,0.000275482,16698,8.349,15.69,1.3099581,12.97,46.31,1.45,84.65,7.37,3806,4985.700529,137.12,220.03
Outagamie 2,402,4,rye,0,1.2,0.000275482,4356,2.178,18.89,0.4114242,8.82,51.83,2.06,79.78,6.33,3638,1496.76124,118.4,194.7
Outagamie 2,403,4,rye,120,5.7,0.000275482,20691,10.3455,15.34,1.5869997,13.92,46.71,1.51,82.72,7.54,3735,5927.44388,136.31,215.46
Outagamie 2,404,4,rye,40,5,0.000275482,18150,9.075,15.91,1.4438325,10.95,52.8,1.82,78.37,7.17,3507,5063.520578,117.65,193.33
Outagamie 2,405,4,rye,80,5.9,0.000275482,21417,10.7085,15.6,1.670526,10.87,52.14,1.85,79.25,6.88,3573,5968.789398,118.13,199.94
